audit_id,audit_type,item_id,source_id,locator,filing_date,accepted_at,accession,url,source_sha256,review_task
ORACLE-GROUP|002,evidence_equivalence_group,ORACLE-GROUP|002,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-AMD-01-01 | REC-AMD-01-03 | REC-AMD-01-04 | REC-AMD-01-05 | REC-AMD-01-06 | REC-AMD-03-03
ORACLE-GROUP|003,evidence_equivalence_group,ORACLE-GROUP|003,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-AMD-01-01 | REC-AMD-01-03 | REC-AMD-01-04 | REC-AMD-02-01
ORACLE-GROUP|004,evidence_equivalence_group,ORACLE-GROUP|004,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-AMD-01-01 | REC-AMD-01-04 | REC-AMD-01-05 | REC-AMD-01-06
ORACLE-GROUP|005,evidence_equivalence_group,ORACLE-GROUP|005,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-AMD-01-01 | REC-AMD-01-04 | REC-AMD-02-01 | REC-AMD-02-02 | REC-AMD-02-03 | REC-AMD-03-01
ORACLE-GROUP|006,evidence_equivalence_group,ORACLE-GROUP|006,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-AMD-01-02 | REC-AMD-01-03 | REC-AMD-02-01 | REC-AMD-02-02 | REC-AMD-03-01 | REC-AMD-03-02
ORACLE-GROUP|007,evidence_equivalence_group,ORACLE-GROUP|007,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-AMD-01-03
ORACLE-GROUP|008,evidence_equivalence_group,ORACLE-GROUP|008,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-AMD-01-03 | REC-AMD-01-05 | REC-AMD-01-06
ORACLE-GROUP|009,evidence_equivalence_group,ORACLE-GROUP|009,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-AMD-02-01 | REC-AMD-03-01
ORACLE-GROUP|010,evidence_equivalence_group,ORACLE-GROUP|010,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-AMD-02-03
ORACLE-GROUP|011,evidence_equivalence_group,ORACLE-GROUP|011,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-AMD-03-01
ORACLE-GROUP|012,evidence_equivalence_group,ORACLE-GROUP|012,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-AMD-03-03
ORACLE-GROUP|013,evidence_equivalence_group,ORACLE-GROUP|013,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-INTC-01-01
ORACLE-GROUP|014,evidence_equivalence_group,ORACLE-GROUP|014,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-INTC-01-01 | REC-INTC-01-02
ORACLE-GROUP|015,evidence_equivalence_group,ORACLE-GROUP|015,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-INTC-01-02 | REC-INTC-01-03
ORACLE-GROUP|016,evidence_equivalence_group,ORACLE-GROUP|016,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-INTC-01-02 | REC-INTC-02-01 | REC-INTC-02-02 | REC-INTC-02-03 | REC-INTC-02-04 | REC-INTC-02-05 | REC-INTC-03-01 | REC-INTC-03-02 | REC-INTC-03-03 | REC-INTC-03-04
ORACLE-GROUP|017,evidence_equivalence_group,ORACLE-GROUP|017,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-INTC-02-01 | REC-INTC-02-02 | REC-INTC-02-03 | REC-INTC-02-04 | REC-INTC-02-05
ORACLE-GROUP|018,evidence_equivalence_group,ORACLE-GROUP|018,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-INTC-02-01 | REC-INTC-02-02 | REC-INTC-02-03 | REC-INTC-02-04 | REC-INTC-02-05 | REC-INTC-03-01 | REC-INTC-03-03 | REC-INTC-03-04
ORACLE-GROUP|019,evidence_equivalence_group,ORACLE-GROUP|019,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-INTC-02-01 | REC-INTC-02-04 | REC-INTC-02-05
ORACLE-GROUP|020,evidence_equivalence_group,ORACLE-GROUP|020,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-INTC-02-02 | REC-INTC-02-03
ORACLE-GROUP|021,evidence_equivalence_group,ORACLE-GROUP|021,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-INTC-03-01 | REC-INTC-03-02 | REC-INTC-03-03 | REC-INTC-03-04
ORACLE-GROUP|022,evidence_equivalence_group,ORACLE-GROUP|022,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-INTC-03-01 | REC-INTC-03-03 | REC-INTC-03-04
ORACLE-GROUP|023,evidence_equivalence_group,ORACLE-GROUP|023,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-NKE-01-01 | REC-NKE-01-02 | REC-NKE-01-03 | REC-NKE-01-04 | REC-NKE-01-05 | REC-NKE-02-01 | REC-NKE-02-02 | REC-NKE-02-03 | REC-NKE-03-01 | REC-NKE-03-02 | REC-NKE-03-03
ORACLE-GROUP|024,evidence_equivalence_group,ORACLE-GROUP|024,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-NKE-01-01 | REC-NKE-01-02 | REC-NKE-01-03 | REC-NKE-01-04 | REC-NKE-01-05 | REC-NKE-02-01 | REC-NKE-02-02 | REC-NKE-02-03 | REC-NKE-03-01 | REC-NKE-03-03
ORACLE-GROUP|025,evidence_equivalence_group,ORACLE-GROUP|025,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-NKE-01-01 | REC-NKE-01-02 | REC-NKE-01-03 | REC-NKE-01-04 | REC-NKE-01-05 | REC-NKE-03-01
ORACLE-GROUP|026,evidence_equivalence_group,ORACLE-GROUP|026,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-NKE-01-01 | REC-NKE-02-01 | REC-NKE-02-02 | REC-NKE-02-03
ORACLE-GROUP|027,evidence_equivalence_group,ORACLE-GROUP|027,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-NKE-01-01 | REC-NKE-02-01 | REC-NKE-03-01 | REC-NKE-03-03
ORACLE-GROUP|028,evidence_equivalence_group,ORACLE-GROUP|028,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-NKE-01-01 | REC-NKE-02-03 | REC-NKE-03-01
ORACLE-GROUP|029,evidence_equivalence_group,ORACLE-GROUP|029,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-NKE-01-01 | REC-NKE-03-01
ORACLE-GROUP|030,evidence_equivalence_group,ORACLE-GROUP|030,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-NKE-01-02 | REC-NKE-01-03 | REC-NKE-01-04 | REC-NKE-01-05
ORACLE-GROUP|031,evidence_equivalence_group,ORACLE-GROUP|031,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-NKE-02-01
ORACLE-GROUP|032,evidence_equivalence_group,ORACLE-GROUP|032,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-NKE-03-01
ORACLE-GROUP|033,evidence_equivalence_group,ORACLE-GROUP|033,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-NKE-03-01 | REC-NKE-03-02 | REC-NKE-03-03
ORACLE-GROUP|034,evidence_equivalence_group,ORACLE-GROUP|034,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-NVDA-01-01 | REC-NVDA-01-02 | REC-NVDA-02-01 | REC-NVDA-02-02
ORACLE-GROUP|035,evidence_equivalence_group,ORACLE-GROUP|035,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-NVDA-01-03
ORACLE-GROUP|036,evidence_equivalence_group,ORACLE-GROUP|036,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-NVDA-02-01 | REC-NVDA-02-02
ORACLE-GROUP|037,evidence_equivalence_group,ORACLE-GROUP|037,,,,,,,,Verify that these record IDs are valid alternatives for one required evidence group: REC-NVDA-03-01 | REC-NVDA-03-02
